,str_id,src,dst,road,direction,dist
0,1000000100,서울역사박물관,정동사거리,새문안로,상행,306
1,1000000200,정동사거리,서울역사박물관,새문안로,하행,302
2,1000000300,종로구청입구,종로1가,종로,상행,325
3,1000000400,종로1가,종로구청입구,종로,하행,325
4,1000000500,종로2가,종로1가,종로,하행,415
5,1000000600,종로1가,종로2가,종로,상행,415
6,1000000700,새문안교회,서울역사박물관,새문안로,상행,276
7,1000000800,서울역사박물관,새문안교회,새문안로,하행,274
8,1000000900,세종대로사거리,새문안교회,새문안로,상행,170
9,1000001000,새문안교회,세종대로사거리,새문안로,하행,170
10,1000001100,종로3가,종로2가,종로,하행,393
11,1000001200,종로2가,종로3가,종로,상행,393
12,1000001300,종로구청입구,세종대로사거리,종로,하행,204
13,1000001400,세종대로사거리,종로구청입구,종로,상행,204
14,1000001500,종로4가,종로3가,종로,하행,499
15,1000001600,종로3가,종로4가,종로,상행,499
16,1000001700,종로5가,종로4가,종로,하행,368
17,1000001800,종로4가,종로5가,종로,상행,368
18,1000001900,흥인지문,종로5가,종로,하행,629
19,1000002000,종로5가,흥인지문,종로,상행,634
20,1000002100,동묘앞역,흥인지문,종로,하행,616
21,1000002200,흥인지문,동묘앞역,종로,상행,616
22,1000002300,신설동역,동묘앞역,종로,하행,728
23,1000002400,동묘앞역,신설동역,종로,상행,730
24,1000002500,정릉터널동측(내부순환로),홍지문터널북측,내부순환로,하행,1861
25,1000002600,홍지문터널북측,정릉터널동측(내부순환로),내부순환로,상행,1848
26,1000002700,청계3가,청계2가,청계천로,하행,412
27,1000002800,청계2가,청계3가,청계천로,상행,418
28,1000002900,광교,청계2가,청계천로,상행,444
29,1000003000,청계2가,광교,청계천로,하행,444
30,1000003100,청계4가,청계3가,청계천로,하행,495
31,1000003200,청계3가,청계4가,청계천로,상행,495
32,1000003300,모전교,광교,청계천로,상행,309
33,1000003400,광교,모전교,청계천로,하행,310
34,1000003500,독립문역,서대문역,통일로,하행,907
35,1000003600,서대문역,독립문역,통일로,상행,905
36,1000003700,청계광장,모전교,청계천로,상행,199
37,1000003800,모전교,청계광장,청계천로,하행,200
38,1000003900,종로2가,청계2가,삼일대로,상행,230
39,1000004000,청계2가,종로2가,삼일대로,하행,230
40,1000004200,청계광장,새문안교회,세종대로21길,상행,211
41,1000004300,청계5가,청계4가,청계천로,하행,376
42,1000004400,청계4가,청계5가,청계천로,상행,371
43,1000004600,청계3가,종로3가,돈화문로,하행,231
44,1000004700,종로1가,광교,우정국로,하행,152
45,1000004800,광교,종로1가,우정국로,상행,151
46,1000005000,모전교,종로구청입구,무교로,상행,121
47,1000005100,세종대로사거리,청계광장,세종대로,상행,110
48,1000005200,청계광장,세종대로사거리,세종대로,하행,108
49,1000005300,청계6가,청계5가,청계천로,하행,680
50,1000005400,청계5가,청계6가,청계천로,상행,678
51,1000005500,종로4가,청계4가,창경궁로,하행,208
52,1000005800,청계6가,동평화시장,청계천로,상행,220
53,1000005900,종로5가,청계5가,동호로,상행,152
54,1000006000,청계5가,종로5가,동호로,하행,152
55,1000006100,흥인지문,청계6가,율곡로,하행,185
56,1000006200,청계6가,흥인지문,율곡로,상행,190
57,1000006300,교남파출소,정동사거리,송월길,상행,893
58,1000006400,정동사거리,교남파출소,송월길,하행,880
59,1000006500,조계사앞,종로1가,우정국로,하행,198
60,1000006600,종로1가,조계사앞,우정국로,상행,199
61,1000006700,종로구청,종로구청입구,무교로,하행,251
62,1000006800,종로구청입구,종로구청,무교로,상행,252
63,1000006900,낙원상가,종로2가,삼일대로,상행,269
64,1000007000,종로2가,낙원상가,삼일대로,하행,267
65,1000007100,봉익동,종로3가,돈화문로,상행,247
66,1000007200,종로3가,봉익동,돈화문로,하행,250
67,1000007300,정부중앙청사별관,새문안교회,새문안로5길,상행,443
68,1000007400,새문안교회,정부중앙청사별관,새문안로5길,하행,441
69,1000007500,종로구청,조계사앞,삼봉로,상행,339
70,1000007600,조계사앞,종로구청,삼봉로,하행,340
71,1000007900,사직단,독립문역,사직로,하행,768
72,1000008000,독립문역,사직단,사직로,상행,772
73,1000008300,광화문,세종대로사거리,세종대로,상행,600
74,1000008400,세종대로사거리,광화문,세종대로,하행,596
75,1000008500,종로구청,역사박물관,종로1길,상행,253
76,1000008600,역사박물관,종로구청,종로1길,하행,274
77,1000008700,원남동사거리,종로4가,창경궁로,하행,571
78,1000008900,이화사거리,종로5가,대학로,하행,578
79,1000009000,종로5가,이화사거리,대학로,상행,575
80,1000009100,안국동사거리,조계사앞,우정국로,하행,399
81,1000009200,조계사앞,안국동사거리,우정국로,상행,396
82,1000009300,정부중앙청사별관,서울지방경찰청,사직로8길,하행,91
83,1000009400,서울지방경찰청,정부중앙청사별관,사직로8길,상행,91
84,1000009500,이화사거리,흥인지문,율곡로,하행,844
85,1000009600,흥인지문,이화사거리,율곡로,상행,854
86,1000009900,역사박물관,정부중앙청사별관,사직로8길,하행,359
87,1000010000,정부중앙청사별관,역사박물관,사직로8길,상행,359
88,1000010100,사직공원,서울지방경찰청,사직로8길,상행,458
89,1000010200,서울지방경찰청,사직공원,사직로8길,하행,451
90,1000010300,안국역,낙원상가,삼일대로,상행,497
91,1000010400,낙원상가,안국역,삼일대로,하행,501
92,1000010600,정부중앙청사별관,정부서울청사,새문안로5길,하행,184
93,1000010700,창덕궁,봉익동,돈화문로,상행,552
94,1000010800,봉익동,창덕궁,돈화문로,하행,552
95,1000011100,경복궁교차로,역사박물관,종로1길,하행,175
96,1000011200,역사박물관,경복궁교차로,종로1길,상행,198
97,1000011300,사직공원,사직단,사직로,하행,123
98,1000011400,사직단,사직공원,사직로,상행,123
99,1000011500,경복궁교차로,안국동사거리,율곡로,하행,306
100,1000011600,안국동사거리,경복궁교차로,율곡로,상행,308
101,1000011700,경복궁역,정부서울청사,사직로,상행,151
102,1000011800,정부서울청사,경복궁역,사직로,하행,151
103,1000011900,광화문,정부서울청사,사직로,하행,224
104,1000012000,정부서울청사,광화문,사직로,상행,224
105,1000012100,경복궁교차로,광화문,사직로,하행,239
106,1000012200,광화문,경복궁교차로,사직로,상행,241
107,1000012300,이화사거리,원남동사거리,율곡로,상행,434
108,1000012400,원남동사거리,이화사거리,율곡로,하행,436
109,1000012500,경복궁역,사직공원,사직로,하행,364
110,1000012600,사직공원,경복궁역,사직로,상행,354
111,1000012700,안국역,안국동사거리,율곡로,상행,317
112,1000012800,안국동사거리,안국역,율곡로,하행,321
113,1000012900,창신역,동묘앞역,지봉로,상행,852
114,1000013000,동묘앞역,창신역,지봉로,하행,851
115,1000013300,창덕궁,원남동사거리,율곡로,하행,690
116,1000013400,원남동사거리,창덕궁,율곡로,상행,696
117,1000013500,창덕궁,안국역,율곡로,상행,360
118,1000013600,안국역,창덕궁,율곡로,하행,355
119,1000013900,재동초등학교앞,안국역,북촌로,하행,277
